TubeNumber,Sample,Kingdom,ID,Trt_Rep,DateGerm,DateCollected,Year,CoverCrop,Variety,WCR,DaysPostGerm,Timepoint,SoilMass
057,CC_B_57,Bacteria,B02_2023,B02,5/20/2023,7/10/2023,2023,Pea,MC4050,yes,51,2,258.7
058,CC_B_58,Bacteria,B03_2023,B03,5/20/2023,7/10/2023,2023,Pea,MC4050,no,51,2,258.3
059,CC_B_59,Bacteria,B04_2023,B04,5/20/2023,7/10/2023,2023,Pea,MC4050,yes,51,2,250.3
060,CC_B_60,Bacteria,B05_2023,B05,5/20/2023,7/10/2023,2023,Pea,MC4050,yes,51,2,252.9
061,CC_B_61,Bacteria,C01_2023,C01,5/20/2023,7/10/2023,2023,Radish,MC4050,yes,51,2,259.5
062,CC_B_62,Bacteria,C02_2023,C02,5/20/2023,7/10/2023,2023,Radish,MC4050,yes,51,2,249.9
063,CC_B_63,Bacteria,C03_2023,C03,5/20/2023,7/10/2023,2023,Radish,MC4050,yes,51,2,256.9
064,CC_B_64,Bacteria,C06_2023,C06,5/20/2023,7/10/2023,2023,Radish,MC4050,no,51,2,255.2
065,CC_B_65,Bacteria,C08_2023,C08,5/20/2023,7/10/2023,2023,Radish,MC4050,no,51,2,259.7
066,CC_B_66,Bacteria,D01_2023,D01,5/20/2023,7/10/2023,2023,Triticale,MC4050,yes,51,2,249.5
067,CC_B_67,Bacteria,D02_2023,D02,5/20/2023,7/10/2023,2023,Triticale,MC4050,yes,51,2,252
068,CC_B_68,Bacteria,D03_2023,D03,5/20/2023,7/10/2023,2023,Triticale,MC4050,no,51,2,256.9
069,CC_B_69,Bacteria,D04_2023,D04,5/20/2023,7/10/2023,2023,Triticale,MC4050,yes,51,2,256.9
070,CC_B_70,Bacteria,D05_2023,D05,5/20/2023,7/10/2023,2023,Triticale,MC4050,no,51,2,250.9
071,CC_B_71,Bacteria,E01_2023,E01,5/20/2023,7/10/2023,2023,Mixture,MC4050,yes,51,2,250.6
072,CC_B_72,Bacteria,E02_2023,E02,5/20/2023,7/10/2023,2023,Mixture,MC4050,yes,51,2,240
073,CC_B_73,Bacteria,E03_2023,E03,5/20/2023,7/10/2023,2023,Mixture,MC4050,yes,51,2,258.6
074,CC_B_74,Bacteria,E04_2023,E04,5/20/2023,7/10/2023,2023,Mixture,MC4050,no,51,2,254
075,CC_B_75,Bacteria,E05_2023,E05,5/20/2023,7/10/2023,2023,Mixture,MC4050,no,51,2,260.2
076,CC_B_76,Bacteria,G01_2023,G01,9/1/2023,10/23/2023,2023,Fallow,42C87,yes,52,2,242.6
077,CC_B_77,Bacteria,G02_2023,G02,9/1/2023,10/23/2023,2023,Fallow,42C87,yes,52,2,250.3
078,CC_B_78,Bacteria,G03_2023,G03,9/1/2023,10/23/2023,2023,Fallow,42C87,yes,52,2,241.6
079,CC_B_79,Bacteria,G06_2023,G06,9/1/2023,10/23/2023,2023,Fallow,42C87,no,52,2,251.3
080,CC_B_80,Bacteria,G08_2023,G08,9/1/2023,10/23/2023,2023,Fallow,42C87,no,52,2,241.6
081,CC_B_81,Bacteria,H01_2023,H01,9/1/2023,10/23/2023,2023,Pea,42C87,yes,52,2,255.5
082,CC_B_82,Bacteria,H02_2023,H02,9/1/2023,10/23/2023,2023,Pea,42C87,yes,52,2,244.2
083,CC_B_83,Bacteria,H03_2023,H03,9/1/2023,10/23/2023,2023,Pea,42C87,yes,52,2,248.1
084,CC_B_84,Bacteria,H04_2023,H04,9/1/2023,10/23/2023,2023,Pea,42C87,no,52,2,249
085,CC_B_85,Bacteria,H05_2023,H05,9/1/2023,10/23/2023,2023,Pea,42C87,no,52,2,246.9
086,CC_B_86,Bacteria,I01_2023,I01,9/1/2023,10/23/2023,2023,Radish,42C87,yes,52,2,252.3
087,CC_B_87,Bacteria,I02_2023,I02,9/1/2023,10/23/2023,2023,Radish,42C87,yes,52,2,248.8
088,CC_B_88,Bacteria,I03_2023,I03,9/1/2023,10/23/2023,2023,Radish,42C87,yes,52,2,249.3
089,CC_B_89,Bacteria,I05_2023,I05,9/1/2023,10/23/2023,2023,Radish,42C87,no,52,2,243
090,CC_B_90,Bacteria,I10_2023,I10,9/1/2023,10/23/2023,2023,Radish,42C87,no,52,2,250.6
091,CC_B_91,Bacteria,J01_2023,J01,9/1/2023,10/23/2023,2023,Triticale,42C87,no,52,2,252.7
092,CC_B_92,Bacteria,J02_2023,J02,9/1/2023,10/23/2023,2023,Triticale,42C87,yes,52,2,257
093,CC_B_93,Bacteria,J03_2023,J03,9/1/2023,10/23/2023,2023,Triticale,42C87,no,52,2,247.6
094,CC_B_94,Bacteria,J06_2023,J06,9/1/2023,10/23/2023,2023,Triticale,42C87,yes,52,2,256
095,CC_B_95,Bacteria,J09_2023,J09,9/1/2023,10/23/2023,2023,Triticale,42C87,yes,52,2,255.1
096,CC_B_96,Bacteria,K01_2023,K01,9/1/2023,10/23/2023,2023,Mixture,42C87,yes,52,2,254
097,CC_B_97,Bacteria,K02_2023,K02,9/1/2023,10/23/2023,2023,Mixture,42C87,yes,52,2,256.6
098,CC_B_98,Bacteria,K03_2023,K03,9/1/2023,10/23/2023,2023,Mixture,42C87,no,52,2,257.4
099,CC_B_99,Bacteria,K04_2023,K04,9/1/2023,10/23/2023,2023,Mixture,42C87,no,52,2,258.9
100,CC_B_100,Bacteria,K06_2023,K06,9/1/2023,10/23/2023,2023,Mixture,42C87,yes,52,2,258.2
001,CC_F_1,Fungi,A09_2021,A09,7/6/2021,8/4/2021,2021,Fallow,MC4050,no,29,2,258.8
002,CC_F_2,Fungi,A10_2021,A10,7/6/2021,8/4/2021,2021,Fallow,MC4050,yes,29,2,253.3
003,CC_F_3,Fungi,A11_2021,A11,7/6/2021,8/4/2021,2021,Fallow,MC4050,yes,29,2,251
004,CC_F_4,Fungi,A12_2021,A12,7/6/2021,8/4/2021,2021,Fallow,MC4050,no,29,2,252.7
005,CC_F_5,Fungi,A13_2021,A13,7/6/2021,8/4/2021,2021,Fallow,MC4050,yes,29,2,257.6
006,CC_F_6,Fungi,B09_2021,B09,7/6/2021,8/4/2021,2021,Pea,MC4050,yes,29,2,256.6
007,CC_F_7,Fungi,B10_2021,B10,7/6/2021,8/4/2021,2021,Pea,MC4050,yes,29,2,252.9
008,CC_F_8,Fungi,B12_2021,B12,7/6/2021,8/4/2021,2021,Pea,MC4050,no,29,2,254.3
009,CC_F_9,Fungi,B13_2021,B13,7/6/2021,8/4/2021,2021,Pea,MC4050,no,29,2,249.8
010,CC_F_10,Fungi,B14_2021,B14,7/6/2021,8/4/2021,2021,Pea,MC4050,yes,29,2,258
011,CC_F_11,Fungi,C09_2021,C09,7/6/2021,8/4/2021,2021,Radish,MC4050,yes,29,2,253.7
012,CC_F_12,Fungi,C10_2021,C10,7/6/2021,8/4/2021,2021,Radish,MC4050,no,29,2,253.9
013,CC_F_13,Fungi,C11_2021,C11,7/6/2021,8/4/2021,2021,Radish,MC4050,no,29,2,259.6
014,CC_F_14,Fungi,C13_2021,C13,7/6/2021,8/4/2021,2021,Radish,MC4050,yes,29,2,259.2
015,CC_F_15,Fungi,C15_2021,C15,7/6/2021,8/4/2021,2021,Radish,MC4050,yes,29,2,249.8
016,CC_F_16,Fungi,D09_2021,D09,7/6/2021,8/4/2021,2021,Triticale,MC4050,yes,29,2,259.6
017,CC_F_17,Fungi,D10_2021,D10,7/6/2021,8/4/2021,2021,Triticale,MC4050,no,29,2,249.9
018,CC_F_18,Fungi,D11_2021,D11,7/6/2021,8/4/2021,2021,Triticale,MC4050,no,29,2,250.4
019,CC_F_19,Fungi,D13_2021,D13,7/6/2021,8/4/2021,2021,Triticale,MC4050,yes,29,2,249.4
020,CC_F_20,Fungi,D15_2021,D15,7/6/2021,8/4/2021,2021,Triticale,MC4050,yes,29,2,257.2
021,CC_F_21,Fungi,E09_2021,E09,7/6/2021,8/4/2021,2021,Mixture,MC4050,yes,29,2,256.4
022,CC_F_22,Fungi,E10_2021,E10,7/6/2021,8/4/2021,2021,Mixture,MC4050,yes,29,2,257.5
023,CC_F_23,Fungi,E11_2021,E11,7/6/2021,8/4/2021,2021,Mixture,MC4050,no,29,2,257.1
024,CC_F_24,Fungi,E12_2021,E12,7/6/2021,8/4/2021,2021,Mixture,MC4050,no,29,2,245.7
025,CC_F_25,Fungi,E13_2021,E13,7/6/2021,8/4/2021,2021,Mixture,MC4050,no,29,2,249.9
026,CC_F_26,Fungi,G09_2021,G09,7/6/2021,8/4/2021,2021,Fallow,42C87,no,29,2,248.3
027,CC_F_27,Fungi,G10_2021,G10,7/6/2021,8/4/2021,2021,Fallow,42C87,yes,29,2,248.5
028,CC_F_28,Fungi,G11_2021,G11,7/6/2021,8/4/2021,2021,Fallow,42C87,yes,29,2,260.9
029,CC_F_29,Fungi,G12_2021,G12,7/6/2021,8/4/2021,2021,Fallow,42C87,no,29,2,243.5
030,CC_F_30,Fungi,G13_2021,G13,7/6/2021,8/4/2021,2021,Fallow,42C87,yes,29,2,254.9
031,CC_F_31,Fungi,H09_2021,H09,7/6/2021,8/4/2021,2021,Pea,42C87,no,29,2,258
032,CC_F_32,Fungi,H11_2021,H11,7/6/2021,8/4/2021,2021,Pea,42C87,yes,29,2,251.2
033,CC_F_33,Fungi,H12_2021,H12,7/6/2021,8/4/2021,2021,Pea,42C87,no,29,2,254
034,CC_F_34,Fungi,H14_2021,H14,7/6/2021,8/4/2021,2021,Pea,42C87,yes,29,2,258.4
035,CC_F_35,Fungi,H15_2021,H15,7/6/2021,8/4/2021,2021,Pea,42C87,yes,29,2,253
036,CC_F_36,Fungi,I09_2021,I09,7/6/2021,8/4/2021,2021,Radish,42C87,no,29,2,249.7
037,CC_F_37,Fungi,I11_2021,I11,7/6/2021,8/4/2021,2021,Radish,42C87,yes,29,2,255.7
038,CC_F_38,Fungi,I12_2021,I12,7/6/2021,8/4/2021,2021,Radish,42C87,no,29,2,257.5
039,CC_F_39,Fungi,I13_2021,I13,7/6/2021,8/4/2021,2021,Radish,42C87,yes,29,2,250.5
040,CC_F_40,Fungi,I15_2021,I15,7/6/2021,8/4/2021,2021,Radish,42C87,yes,29,2,249.7
041,CC_F_41,Fungi,J09_2021,J09,7/6/2021,8/4/2021,2021,Triticale,42C87,no,29,2,258.2
042,CC_F_42,Fungi,J10_2021,J10,7/6/2021,8/4/2021,2021,Triticale,42C87,yes,29,2,251.2
043,CC_F_43,Fungi,J11_2021,J11,7/6/2021,8/4/2021,2021,Triticale,42C87,yes,29,2,256.6
044,CC_F_44,Fungi,J13_2021,J13,7/6/2021,8/4/2021,2021,Triticale,42C87,yes,29,2,256.3
045,CC_F_45,Fungi,J14_2021,J14,7/6/2021,8/4/2021,2021,Triticale,42C87,no,29,2,258.1
046,CC_F_46,Fungi,K09_2021,K09,7/6/2021,8/4/2021,2021,Mixture,42C87,yes,29,2,253.6
047,CC_F_47,Fungi,K10_2021,K10,7/6/2021,8/4/2021,2021,Mixture,42C87,no,29,2,255
048,CC_F_48,Fungi,K11_2021,K11,7/6/2021,8/4/2021,2021,Mixture,42C87,yes,29,2,258.8
049,CC_F_49,Fungi,K12_2021,K12,7/6/2021,8/4/2021,2021,Mixture,42C87,no,29,2,257.3
050,CC_F_50,Fungi,K14_2021,K14,7/6/2021,8/4/2021,2021,Mixture,42C87,yes,29,2,257.4
051,CC_F_51,Fungi,A01_2023,A01,5/20/2023,7/10/2023,2023,Fallow,MC4050,yes,51,2,256.3
052,CC_F_52,Fungi,A02_2023,A02,5/20/2023,7/10/2023,2023,Fallow,MC4050,no,51,2,248.9
053,CC_F_53,Fungi,A03_2023,A03,5/20/2023,7/10/2023,2023,Fallow,MC4050,yes,51,2,259.4
054,CC_F_54,Fungi,A04_2023,A04,5/20/2023,7/10/2023,2023,Fallow,MC4050,no,51,2,251.4
055,CC_F_55,Fungi,A05_2023,A05,5/20/2023,7/10/2023,2023,Fallow,MC4050,yes,51,2,251.5
056,CC_F_56,Fungi,B01_2023,B01,5/20/2023,7/10/2023,2023,Pea,MC4050,no,51,2,256.1
057,CC_F_57,Fungi,B02_2023,B02,5/20/2023,7/10/2023,2023,Pea,MC4050,yes,51,2,258.7
058,CC_F_58,Fungi,B03_2023,B03,5/20/2023,7/10/2023,2023,Pea,MC4050,no,51,2,258.3
059,CC_F_59,Fungi,B04_2023,B04,5/20/2023,7/10/2023,2023,Pea,MC4050,yes,51,2,250.3
060,CC_F_60,Fungi,B05_2023,B05,5/20/2023,7/10/2023,2023,Pea,MC4050,yes,51,2,252.9
061,CC_F_61,Fungi,C01_2023,C01,5/20/2023,7/10/2023,2023,Radish,MC4050,yes,51,2,259.5
062,CC_F_62,Fungi,C02_2023,C02,5/20/2023,7/10/2023,2023,Radish,MC4050,yes,51,2,249.9
063,CC_F_63,Fungi,C03_2023,C03,5/20/2023,7/10/2023,2023,Radish,MC4050,yes,51,2,256.9
064,CC_F_64,Fungi,C06_2023,C06,5/20/2023,7/10/2023,2023,Radish,MC4050,no,51,2,255.2
065,CC_F_65,Fungi,C08_2023,C08,5/20/2023,7/10/2023,2023,Radish,MC4050,no,51,2,259.7
066,CC_F_66,Fungi,D01_2023,D01,5/20/2023,7/10/2023,2023,Triticale,MC4050,yes,51,2,249.5
067,CC_F_67,Fungi,D02_2023,D02,5/20/2023,7/10/2023,2023,Triticale,MC4050,yes,51,2,252
068,CC_F_68,Fungi,D03_2023,D03,5/20/2023,7/10/2023,2023,Triticale,MC4050,no,51,2,256.9
069,CC_F_69,Fungi,D04_2023,D04,5/20/2023,7/10/2023,2023,Triticale,MC4050,yes,51,2,256.9
070,CC_F_70,Fungi,D05_2023,D05,5/20/2023,7/10/2023,2023,Triticale,MC4050,no,51,2,250.9
071,CC_F_71,Fungi,E01_2023,E01,5/20/2023,7/10/2023,2023,Mixture,MC4050,yes,51,2,250.6
072,CC_F_72,Fungi,E02_2023,E02,5/20/2023,7/10/2023,2023,Mixture,MC4050,yes,51,2,240
073,CC_F_73,Fungi,E03_2023,E03,5/20/2023,7/10/2023,2023,Mixture,MC4050,yes,51,2,258.6
074,CC_F_74,Fungi,E04_2023,E04,5/20/2023,7/10/2023,2023,Mixture,MC4050,no,51,2,254
075,CC_F_75,Fungi,E05_2023,E05,5/20/2023,7/10/2023,2023,Mixture,MC4050,no,51,2,260.2
076,CC_F_76,Fungi,G01_2023,G01,9/1/2023,10/23/2023,2023,Fallow,42C87,yes,52,2,242.6
077,CC_F_77,Fungi,G02_2023,G02,9/1/2023,10/23/2023,2023,Fallow,42C87,yes,52,2,250.3
078,CC_F_78,Fungi,G03_2023,G03,9/1/2023,10/23/2023,2023,Fallow,42C87,yes,52,2,241.6
079,CC_F_79,Fungi,G06_2023,G06,9/1/2023,10/23/2023,2023,Fallow,42C87,no,52,2,251.3
080,CC_F_80,Fungi,G08_2023,G08,9/1/2023,10/23/2023,2023,Fallow,42C87,no,52,2,241.6
081,CC_F_81,Fungi,H01_2023,H01,9/1/2023,10/23/2023,2023,Pea,42C87,yes,52,2,255.5
082,CC_F_82,Fungi,H02_2023,H02,9/1/2023,10/23/2023,2023,Pea,42C87,yes,52,2,244.2
083,CC_F_83,Fungi,H03_2023,H03,9/1/2023,10/23/2023,2023,Pea,42C87,yes,52,2,248.1
084,CC_F_84,Fungi,H04_2023,H04,9/1/2023,10/23/2023,2023,Pea,42C87,no,52,2,249
085,CC_F_85,Fungi,H05_2023,H05,9/1/2023,10/23/2023,2023,Pea,42C87,no,52,2,246.9
086,CC_F_86,Fungi,I01_2023,I01,9/1/2023,10/23/2023,2023,Radish,42C87,yes,52,2,252.3
087,CC_F_87,Fungi,I02_2023,I02,9/1/2023,10/23/2023,2023,Radish,42C87,yes,52,2,248.8
088,CC_F_88,Fungi,I03_2023,I03,9/1/2023,10/23/2023,2023,Radish,42C87,yes,52,2,249.3
089,CC_F_89,Fungi,I05_2023,I05,9/1/2023,10/23/2023,2023,Radish,42C87,no,52,2,243
090,CC_F_90,Fungi,I10_2023,I10,9/1/2023,10/23/2023,2023,Radish,42C87,no,52,2,250.6
091,CC_F_91,Fungi,J01_2023,J01,9/1/2023,10/23/2023,2023,Triticale,42C87,no,52,2,252.7
092,CC_F_92,Fungi,J02_2023,J02,9/1/2023,10/23/2023,2023,Triticale,42C87,yes,52,2,257
093,CC_F_93,Fungi,J03_2023,J03,9/1/2023,10/23/2023,2023,Triticale,42C87,no,52,2,247.6
094,CC_F_94,Fungi,J06_2023,J06,9/1/2023,10/23/2023,2023,Triticale,42C87,yes,52,2,256
095,CC_F_95,Fungi,J09_2023,J09,9/1/2023,10/23/2023,2023,Triticale,42C87,yes,52,2,255.1
096,CC_F_96,Fungi,K01_2023,K01,9/1/2023,10/23/2023,2023,Mixture,42C87,yes,52,2,254
097,CC_F_97,Fungi,K02_2023,K02,9/1/2023,10/23/2023,2023,Mixture,42C87,yes,52,2,256.6
098,CC_F_98,Fungi,K03_2023,K03,9/1/2023,10/23/2023,2023,Mixture,42C87,no,52,2,257.4
099,CC_F_99,Fungi,K04_2023,K04,9/1/2023,10/23/2023,2023,Mixture,42C87,no,52,2,258.9
100,CC_F_100,Fungi,K06_2023,K06,9/1/2023,10/23/2023,2023,Mixture,42C87,yes,52,2,258.2
